SubjectID_submitter,SampleID_submitter,Sample: Organism,Sample: Biosample type,Sample: Biosample description,Protocol: Material_type,Protocol: Assay,Protocol: Antibody,"Protocol: Platform (RNA-Seq, WGS)",Sample: Life_stage,Sample: Treatment,Sample: Material_amount,Sample: RIN,Protocol: Extraction_brief,Protocol: Experiment_description_brief,Protocol: Run_type,Protocol: Library_info_brief,Protocol: Read_length,Data contribution
R3710945,777_130528,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2169533,778_130528,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3857147,77_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9950567,781_130528,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9891381,786_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1408411,787_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5489358,78_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1067972,790_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4637403,791_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4240155,792_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8627329,793_130530,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1627792,796_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9537646,797_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7202764,799_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7698313,79_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
NR,800_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2500527,803_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6913259,805_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1571066,807_130701,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3727306,809_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6515859,80_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1412995,810_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9557117,811_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8760165,812_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3863249,813_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9324027,815_130702,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9907075,81_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9170872,820_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3864948,821_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4536332,824_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2928383,826_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1224782,829_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3185659,82_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7868788,831_130725,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2658091,833_130729,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8410904,834_130729,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3898113,83_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8125311,844_130830,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7015250,845_130830,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9323873,846_130830,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4854051,847_130830,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2845830,84_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
